"","binomial_name","family.x","genus.x","species.x","history_at_INDFORSUS_site","species_origin","logging_status","comment"
"229","Elaeocarpus stipularis","Elaeocarpaceae","Elaeocarpus","stipularis",NA,"50ha, CP","both",""
"230","Elaeocarpus unknown mixed","Elaeocarpaceae","Elaeocarpus","unknown mixed",NA,"50ha, CP","both",""
"231","Endospermum diadenum","Euphorbiaceae","Endospermum","diadenum",NA,"50ha, CP","both",""
"232","Engelhardia danumensis","Juglandaceae","Engelhardia","danumensis",NA,"50ha","unlogged","X"
"233","Erycibe borneensis","Convolvulaceae","Erycibe","borneensis",NA,"50ha, CP","both","X"
"234","Erythroxylum cuneatum","Erythroxylaceae","Erythroxylum","cuneatum",NA,"50ha","unlogged","X"
"235","Eurycoma longifolia","Simaroubaceae","Eurycoma","longifolia",NA,"50ha","unlogged","X"
"236","Eusideroxylon zwageri","Lauraceae","Eusideroxylon","zwageri",NA,"50ha, CP","both","NO BC"
"237","Utania cuspidata","Gentianaceae","Utania","cuspidata",NA,"50ha, CP","both",NA
"238","Fagraea unknown mixed","Gentianaceae","Fagraea","unknown mixed",NA,"50ha","unlogged","X"
"239","Ficus beccarii","Moraceae","Ficus","beccarii",NA,"50ha","unlogged",""
"240","Ficus lepicarpa","Moraceae","Ficus","lepicarpa",NA,"50ha","unlogged",""
"241","Ficus mixed","Moraceae","Ficus","mixed",NA,"50ha","unlogged",""
"242","Ficus obscura","Moraceae","Ficus","obscura",NA,"50ha","unlogged",""
"243","Ficus sinuata","Moraceae","Ficus","sinuata",NA,"50ha","unlogged",""
"244","Ficus species 1","Moraceae","Ficus","species 1",NA,"50ha","unlogged",""
"245","Ficus species 2","Moraceae","Ficus","species 2",NA,"50ha","unlogged",""
"246","Ficus species 3","Moraceae","Ficus","species 3",NA,"50ha","unlogged",""
"247","Ficus species 4","Moraceae","Ficus","species 4",NA,"50ha","unlogged",""
"248","Ficus species 5","Moraceae","Ficus","species 5",NA,"50ha","unlogged",""
"249","Ficus species 6","Moraceae","Ficus","species 6",NA,"50ha","unlogged",""
"250","Ficus species 7","Moraceae","Ficus","species 7",NA,"50ha","unlogged",""
"251","Ficus species 8","Moraceae","Ficus","species 8",NA,"50ha","unlogged",""
"252","Ficus stolonifera","Moraceae","Ficus","stolonifera",NA,"50ha","unlogged",""
"253","Ficus unknown mixed","Moraceae","Ficus","unknown mixed",NA,"CP","logged",NA
"254","Ficus variegata","Moraceae","Ficus","variegata",NA,"50ha, CP","both","NO BC X2"
"255","Flacourtia rukam","Salicaceae","Flacourtia","rukam",NA,"50ha","unlogged","XX"
"256","Fordia brachybotrys","Fabaceae","Fordia","brachybotrys",NA,"50ha, CP","both","X"
"257","Fordia splendidissima","Fabaceae","Fordia","splendidissima",NA,"50ha","unlogged","NO BC"
"258","Fordia species 1","Fabaceae","Fordia","species 1",NA,"50ha","unlogged","X"
"259","Fordia species 3","Fabaceae","Fordia","species 3",NA,"50ha","unlogged","X"
"260","Fordia splendidissima","Fabaceae","Fordia","splendidissima",NA,"50ha, CP","both","NO BC"
"261","Fordia unknown mixed","Fabaceae","Fordia","unknown mixed",NA,"CP","logged",NA
"262","Galearia fulva","Pandaceae","Galearia","fulva",NA,"50ha, CP","both","NO GENUS"
"263","Garcinia nervosa","Clusiaceae","Garcinia","nervosa",NA,"50ha, CP","both",NA
"264","Garcinia forbesii","Clusiaceae","Garcinia","forbesii",NA,"50ha, CP","both",""
"265","Garcinia gaudichaudii","Clusiaceae","Garcinia","gaudichaudii",NA,"50ha","unlogged",""
"266","Garcinia parvifolia","Clusiaceae","Garcinia","parvifolia",NA,"50ha","unlogged",""
"267","Garcinia unknown mixed","Clusiaceae","Garcinia","unknown mixed",NA,"CP","logged",NA
"268","Gardenia carinata","Rubiaceae","Gardenia","carinata",NA,"50ha","unlogged","X"
"269","Gironniera nervosa","Cannabaceae","Gironniera","nervosa",NA,"50ha, CP","both","X"
"270","Gironniera species 1","Cannabaceae","Gironniera","species 1",NA,"50ha","unlogged","X"
"271","Phyllanthus  borneensis","Phyllanthaceae","Phyllanthus ","borneensis",NA,"50ha","unlogged",NA
"272","Glochidion elmeri","Phyllanthaceae","Glochidion","elmeri",NA,"50ha, CP","both",NA
"273","Phyyanthus  lancisepalus","Phyllanthaceae","Phyyanthus ","lancisepalus",NA,"50ha, CP","both",NA
"274","Glochidion pubicapsa","Phyllanthaceae","Glochidion","pubicapsa",NA,"50ha, CP","both",""
"275","Phyllanthus  subscandens","Phyllanthaceae","Phyllanthus ","subscandens",NA,"50ha, CP","both",NA
"276","Glochidion species 1","Phyllanthaceae","Glochidion","species 1",NA,"50ha","unlogged",""
"277","Glochidion species 2","Phyllanthaceae","Glochidion","species 2",NA,"50ha","unlogged",""
"278","Glochidion species 3","Phyllanthaceae","Glochidion","species 3",NA,"50ha","unlogged",""
"279","Glochidion species 4","Phyllanthaceae","Glochidion","species 4",NA,"50ha","unlogged",""
"280","Glochidion species 5","Phyllanthaceae","Glochidion","species 5",NA,"50ha","unlogged",NA
"281","Glochidion unknown mixed","Phyllanthaceae","Glochidion","unknown mixed",NA,"50ha, CP","both",""
"282","Glycosmis chlorosperma","Rutaceae","Glycosmis","chlorosperma",NA,"50ha","unlogged","X"
"283","Glycosmis macrantha","Rutaceae","Glycosmis","macrantha",NA,"50ha, CP","both","X"
"284","Glycosmis unknown mixed","Rutaceae","Glycosmis","unknown mixed",NA,"50ha","unlogged","X"
"285","Gomphandra quadrifida","Stemonuraceae","Gomphandra","quadrifida",NA,"50ha","unlogged","X"
"286","Goniothalamus gigantifolius","Annonaceae","Goniothalamus","gigantifolius",NA,"50ha","unlogged","X"
"287","Goniothalamus species 1","Annonaceae","Goniothalamus","species 1",NA,"50ha","unlogged","X"
"288","Goniothalamus species 2","Annonaceae","Goniothalamus","species 2",NA,"50ha","unlogged","X"
"289","Goniothalamus species 3","Annonaceae","Goniothalamus","species 3",NA,"50ha","unlogged","X"
"290","Goniothalamus uvarioides","Annonaceae","Goniothalamus","uvarioides",NA,"50ha, CP","both","X"
"291","Goniothalamus woodii","Annonaceae","Goniothalamus","woodii",NA,"50ha","unlogged","NO BC "
"292","Gonocaryum calleryanum","Cardiopteridaceae","Gonocaryum","calleryanum",NA,"50ha","unlogged","X"
"293","Gonocaryum macrophyllum","Cardiopteridaceae","Gonocaryum","macrophyllum",NA,"50ha","unlogged","E00274534"
"294","Gonystylus keithii","Thymelaeaceae","Gonystylus","keithii",NA,"50ha","unlogged",""
"295","Guioa pleuropteris","Sapindaceae","Guioa","pleuropteris",NA,"50ha, CP","both",""
"296","Hancea penangensis","Euphorbiaceae","Hancea","penangensis",NA,"50ha","unlogged","H EURPHORBIA NO LABEL"
"297","Harpullia arborea","Sapindaceae","Harpullia","arborea",NA,"50ha","unlogged",""
"298","Harpullia species 1","Sapindaceae","Harpullia","species 1",NA,"50ha","unlogged",""
"299","Helicia excelsa","Proteaceae","Helicia","excelsa",NA,"50ha, CP","both","X"
"300","Helicia robusta","Proteaceae","Helicia","robusta",NA,"50ha, CP","both","X"
"301","Heliciopsis artocarpoides","Proteaceae","Heliciopsis","artocarpoides",NA,"50ha","unlogged","X"
"302","Heritiera elata","Malvaceae","Heritiera","elata",NA,"50ha","unlogged","X"
"303","Homalium foetidum","Salicaceae","Homalium","foetidum",NA,"50ha","unlogged","X"
"304","Hopea ferruginea","Dipterocarpaceae","Hopea","ferruginea",NA,"50ha, CP","both",""
"305","Hopea nervosa","Dipterocarpaceae","Hopea","nervosa",NA,"50ha, CP","both",""
"306","Hopea pentanervia","Dipterocarpaceae","Hopea","pentanervia",NA,"50ha","unlogged",""
"307","Hopea plagata","Dipterocarpaceae","Hopea","plagata",NA,"50ha","unlogged","Y NO CODE"
"308","Hopea sangal","Dipterocarpaceae","Hopea","sangal",NA,"50ha, CP","both",""
"309","Hopea unknown mixed","Dipterocarpaceae","Hopea","unknown mixed",NA,"50ha, CP","both",""
"310","Horsfieldia irya","Myristicaceae","Horsfieldia","irya",NA,"50ha","unlogged","X2 NO BC"
"311","Horsfieldia polyspherula","Myristicaceae","Horsfieldia","polyspherula",NA,"50ha, CP","both","X"
"312","Horsfieldia unknown mixed","Myristicaceae","Horsfieldia","unknown mixed",NA,"50ha","unlogged","X"
"313","Huberantha rumphii","Annonaceae","Huberantha","rumphii",NA,"CP","logged",NA
"314","Hydnocarpus anomalus","Achariaceae","Hydnocarpus","anomalus",NA,"CP","logged","NO GENUS"
"315","Hydnocarpus borneensis","Achariaceae","Hydnocarpus","borneensis",NA,"50ha, CP","both","NONE IN GENERA"
"316","Hydnocarpus polypetalus","Achariaceae","Hydnocarpus","polypetalus",NA,"50ha","unlogged","X"
"317","Hydnocarpus unknown mixed","Achariaceae","Hydnocarpus","unknown mixed",NA,"50ha, CP","both","X"
"318","Intsia palembanica","Fabaceae","Intsia","palembanica",NA,"50ha, CP","both","X"
"319","Intsia unknown mixed","Fabaceae","Intsia","unknown mixed",NA,"50ha","unlogged","X"
"320","Irvingia malayana","Irvingiaceae","Irvingia","malayana",NA,"50ha","unlogged","NO GENUS"
"321","Ixora blumei","Rubiaceae","Ixora","blumei",NA,"50ha, CP","both","X"
"322","Ixora brevicaudata","Rubiaceae","Ixora","brevicaudata",NA,"50ha","unlogged","X"
"323","Ixora grandifolia","Rubiaceae","Ixora","grandifolia",NA,"50ha, CP","both","X"
"324","Ixora unknown mixed","Rubiaceae","Ixora","unknown mixed",NA,"50ha","unlogged","X"
"325","Kayea oblongifolia","Calophyllaceae","Kayea","oblongifolia",NA,"50ha","unlogged",""
"326","Kayea unknown mixed","Calophyllaceae","Kayea","unknown mixed",NA,"CP","logged",NA
"327","Kibara obtusa","Monimiaceae","Kibara","obtusa",NA,"50ha, CP","both","X"
"328","Knema cinerea","Myristicaceae","Knema","cinerea",NA,"50ha","unlogged","X"
"329","Knema elmeri","Myristicaceae","Knema","elmeri",NA,"50ha, CP","both","E00166111"
"330","Knema furfuracea","Myristicaceae","Knema","furfuracea",NA,"50ha","unlogged","E00160422,E00164355"
"331","Knema glomerata","Myristicaceae","Knema","glomerata",NA,"50ha","unlogged","X"
"332","Knema kostermansiana","Myristicaceae","Knema","kostermansiana",NA,"50ha","unlogged",NA
"333","Knema latericia","Myristicaceae","Knema","latericia",NA,"50ha, CP","both","NO BC"
"334","Knema laurina","Myristicaceae","Knema","laurina",NA,"50ha, CP","both","NO BC"
"335","Knema oblongata","Myristicaceae","Knema","oblongata",NA,"50ha","unlogged","X"
"336","Knema pectinata","Myristicaceae","Knema","pectinata",NA,"CP","logged",NA
"337","Knema pulchra","Myristicaceae","Knema","pulchra",NA,"50ha","unlogged","X"
"338","Knema unknown mixed","Myristicaceae","Knema","unknown mixed",NA,"50ha, CP","both","X"
"339","Koilodepas laevigatum","Euphorbiaceae","Koilodepas","laevigatum",NA,"50ha","unlogged",""
"340","Koilodepas longifolium","Euphorbiaceae","Koilodepas","longifolium",NA,"50ha, CP","both","E00196547"
"341","Kokoona ochracea","Celastraceae","Kokoona","ochracea",NA,"50ha","unlogged",""
"342","Koompassia excelsa","Fabaceae","Koompassia","excelsa",NA,"50ha, CP","both","X"
"343","Kopsia pauciflora","Apocynaceae","Kopsia","pauciflora",NA,"50ha","unlogged",""
"344","Lansium domesticum","Meliaceae","Lansium","domesticum",NA,"50ha, CP","both",""
"345","Lasianthus borneensis","Rubiaceae","Lasianthus","borneensis",NA,"50ha","unlogged","X"
"346","Lasianthus reticulatus","Rubiaceae","Lasianthus","reticulatus",NA,"50ha","unlogged",NA
"347","Lasianthus species 1","Rubiaceae","Lasianthus","species 1",NA,"50ha","unlogged","X"
"348","Lasianthus species 2","Rubiaceae","Lasianthus","species 2",NA,"50ha","unlogged","X"
"349","Lasianthus species 3","Rubiaceae","Lasianthus","species 3",NA,"50ha","unlogged","X"
"350","Lasianthus unknown mixed","Rubiaceae","Lasianthus","unknown mixed",NA,"50ha","unlogged","X"
"351","Leea aculeata","Vitaceae","Leea","aculeata",NA,"50ha, CP","both","X"
"352","Leea indica","Vitaceae","Leea","indica",NA,"50ha","unlogged","X"
"353","Lepisanthes fruticosa","Sapindaceae","Lepisanthes","fruticosa",NA,"50ha","unlogged",""
"354","Lepisanthes senegalensis","Sapindaceae","Lepisanthes","senegalensis",NA,"50ha, CP","both",""
"355","Lepisanthes tetraphylla","Sapindaceae","Lepisanthes","tetraphylla",NA,"50ha","unlogged","E00607696,E00428178"
"356","Lepisanthes unknown mixed","Sapindaceae","Lepisanthes","unknown mixed",NA,"50ha, CP","both",""
"357","Angelesia splendens","Chrysobalanaceae","Angelesia","splendens",NA,"50ha","unlogged",NA
"358","Lithocarpus ewyckii","Fagaceae","Lithocarpus","ewyckii",NA,"50ha, CP","both","X"
"359","Lithocarpus gracilis","Fagaceae","Lithocarpus","gracilis",NA,"50ha, CP","both","NO BC"
"360","Lithocarpus leptogyne","Fagaceae","Lithocarpus","leptogyne",NA,"50ha, CP","both",""
"361","Lithocarpus nieuwenhuisii","Fagaceae","Lithocarpus","nieuwenhuisii",NA,"50ha, CP","both","E00283610"
"362","Lithocarpus species 1","Fagaceae","Lithocarpus","species 1",NA,"50ha","unlogged",""
"363","Lithocarpus species 2","Fagaceae","Lithocarpus","species 2",NA,"50ha","unlogged",""
"364","Lithocarpus species 3","Fagaceae","Lithocarpus","species 3",NA,"50ha","unlogged",""
"365","Lithocarpus species 4","Fagaceae","Lithocarpus","species 4",NA,"50ha","unlogged",""
"366","Lithocarpus species 5","Fagaceae","Lithocarpus","species 5",NA,"50ha","unlogged",""
"367","Lithocarpus species 6","Fagaceae","Lithocarpus","species 6",NA,"50ha","unlogged",""
"368","Lithocarpus species 7","Fagaceae","Lithocarpus","species 7",NA,"50ha","unlogged",""
"369","Lithocarpus species 8","Fagaceae","Lithocarpus","species 8",NA,"50ha","unlogged",""
"370","Lithocarpus species 9","Fagaceae","Lithocarpus","species 9",NA,"50ha","unlogged",""
"371","Lithocarpus unknown mixed","Fagaceae","Lithocarpus","unknown mixed",NA,"CP","logged",NA
"372","Litsea accedens","Lauraceae","Litsea","accedens",NA,"50ha, CP","both",""
"373","Litsea angulata","Lauraceae","Litsea","angulata",NA,"50ha, CP","both",""
"374","Litsea caulocarpa","Lauraceae","Litsea","caulocarpa",NA,"50ha, CP","both",""
"375","Litsea cordata","Lauraceae","Litsea","cordata",NA,"50ha, CP","both",NA
"376","Litsea cuprea","Lauraceae","Litsea","cuprea",NA,"50ha","unlogged",""
"377","Litsea curtisii","Lauraceae","Litsea","curtisii",NA,"50ha","unlogged",""
"378","Litsea elliptica","Lauraceae","Litsea","elliptica",NA,"50ha","unlogged","E00198915"
"379","Litsea ferruginea","Lauraceae","Litsea","ferruginea",NA,"50ha","unlogged",""
"380","Litsea ficoidea","Lauraceae","Litsea","ficoidea",NA,"50ha","unlogged",""
"381","Litsea fulva","Lauraceae","Litsea","fulva",NA,"50ha, CP","both","NO BC"
"382","Litsea garciae","Lauraceae","Litsea","garciae",NA,"50ha, CP","both","X2 NO BC"
"383","Litsea grandis","Lauraceae","Litsea","grandis",NA,"50ha, CP","both",""
"384","Litsea ligustrina","Lauraceae","Litsea","ligustrina",NA,"50ha","unlogged",NA
"385","Litsea machilifolia","Lauraceae","Litsea","machilifolia",NA,"50ha","unlogged",""
"386","Litsea oppositifolia","Lauraceae","Litsea","oppositifolia",NA,"50ha, CP","both",""
"387","Litsea robusta","Lauraceae","Litsea","robusta",NA,"50ha","unlogged",""
"388","Litsea unknown mixed","Lauraceae","Litsea","unknown mixed",NA,"50ha, CP","both",""
"389","Lophopetalum beccarianum","Celastraceae","Lophopetalum","beccarianum",NA,"50ha, CP","both",""
"390","Lophopetalum javanicum","Celastraceae","Lophopetalum","javanicum",NA,"50ha, CP","both",""
"391","Lophopetalum unknown mixed","Celastraceae","Lophopetalum","unknown mixed",NA,"50ha","unlogged",""
"392","Ludekia borneensis","Rubiaceae","Ludekia","borneensis",NA,"50ha, CP","both","X"
"393","Ludekia unknown mixed","Rubiaceae","Ludekia","unknown mixed",NA,"CP","logged",NA
"394","Maasia sumatrana","Annonaceae","Maasia","sumatrana",NA,"CP","logged",NA
"395","Macaranga conifera","Euphorbiaceae","Macaranga","conifera",NA,"CP","logged",NA
"396","Macaranga gigantea","Euphorbiaceae","Macaranga","gigantea",NA,"CP","logged",NA
"397","Macaranga hypoleuca","Euphorbiaceae","Macaranga","hypoleuca",NA,"50ha, CP","both",""
"398","Macaranga pearsonii","Euphorbiaceae","Macaranga","pearsonii",NA,"50ha, CP","both",""
"399","Macaranga winkleri","Euphorbiaceae","Macaranga","winkleri",NA,"50ha","unlogged",""
"400","Madhuca elmeri","Sapotaceae","Madhuca","elmeri",NA,"50ha, CP","both","X"
"401","Madhuca kingiana","Sapotaceae","Madhuca","kingiana",NA,"50ha, CP","both","E00416366"
"402","Madhuca korthalsii","Sapotaceae","Madhuca","korthalsii",NA,"50ha, CP","both","X"
"403","Madhuca kunstleri","Sapotaceae","Madhuca","kunstleri",NA,"50ha","unlogged","X"
"404","Madhuca mindanaensis","Sapotaceae","Madhuca","mindanaensis",NA,"50ha","unlogged","X"
"405","Madhuca unknown mixed","Sapotaceae","Madhuca","unknown mixed",NA,"50ha","unlogged","X"
"406","Magnolia beccarii","Magnoliaceae","Magnolia","beccarii",NA,"50ha","unlogged","X"
"407","Magnolia acuminata","Magnoliaceae","Magnolia","acuminata",NA,"50ha, CP","both",NA
"408","Magnolia gigantifolia","Magnoliaceae","Magnolia","gigantifolia",NA,"50ha, CP","both","X"
"409","Mallotus korthalsii","Euphorbiaceae","Mallotus","korthalsii",NA,"50ha, CP","both",""
"410","Mallotus lackeyi","Euphorbiaceae","Mallotus","lackeyi",NA,"50ha, CP","both",""
"411","Mallotus miquelianus","Euphorbiaceae","Mallotus","miquelianus",NA,"50ha","unlogged",""
"412","Hancea penangensis","Euphorbiaceae","Hancea","penangensis",NA,"CP","logged","H EURPHORBIA NO LABEL"
"413","Mallotus species 1","Euphorbiaceae","Mallotus","species 1",NA,"50ha, CP","both",""
"414","Hancea stipularis","Euphorbiaceae","Hancea","stipularis",NA,"CP","logged",NA
"415","Mallotus unknown mixed","Euphorbiaceae","Mallotus","unknown mixed",NA,"50ha, CP","both",""
"416","Mallotus wrayi","Euphorbiaceae","Mallotus","wrayi",NA,"50ha, CP","both",""
"417","Mangifera caesia","Anacardiaceae","Mangifera","caesia",NA,"50ha, CP","both",NA
"418","Mangifera indica","Anacardiaceae","Mangifera","indica",NA,"50ha","unlogged","X3 NO BC"
"419","Mangifera odorata","Anacardiaceae","Mangifera","odorata",NA,"50ha","unlogged",""
"420","Mangifera pajang","Anacardiaceae","Mangifera","pajang",NA,"50ha, CP","both",""
"421","Mangifera rufocostata","Anacardiaceae","Mangifera","rufocostata",NA,"50ha","unlogged",""
"422","Mangifera species 1","Anacardiaceae","Mangifera","species 1",NA,"50ha","unlogged",""
"423","Mangifera swintonioides","Anacardiaceae","Mangifera","swintonioides",NA,"50ha","unlogged",""
"424","Mangifera unknown mixed","Anacardiaceae","Mangifera","unknown mixed",NA,"50ha, CP","both",""
"425","Maranthes corymbosa","Chrysobalanaceae","Maranthes","corymbosa",NA,"50ha","unlogged",""
"426","Marsypopetalum pallidum","Annonaceae","Marsypopetalum","pallidum",NA,"50ha","unlogged","X"
"427","Urophyllum  corymbosum","Rubiaceae","Urophyllum ","corymbosum",NA,"CP","logged",NA
"428","Mastixia trichotoma","Nyssaceae","Mastixia","trichotoma",NA,"50ha, CP","both","x"
"429","Meiogyne virgata","Annonaceae","Meiogyne","virgata",NA,"50ha, CP","both","E00160420,E00187530"
"430","Melanochyla auriculata","Anacardiaceae","Melanochyla","auriculata",NA,"50ha","unlogged",""
"431","Melanochyla beccariana","Anacardiaceae","Melanochyla","beccariana",NA,"50ha, CP","both",""
"432","Melanochyla unknown mixed","Anacardiaceae","Melanochyla","unknown mixed",NA,"50ha","unlogged",""
"433","Melastoma malabathricum","Melastomataceae","Melastoma","malabathricum",NA,"50ha","unlogged","X"
"434","Melicope  lunu-ankenda","Rutaceae","Melicope ","lunu-ankenda",NA,"CP","logged",NA
"435","Melicope  unknown mixed","Rutaceae","Melicope ","unknown mixed",NA,"CP","logged",NA
"436","Meliosma pinnata","Sabiaceae","Meliosma","pinnata",NA,"50ha, CP","both","X"
"437","Meliosma sumatrana","Sabiaceae","Meliosma","sumatrana",NA,"50ha, CP","both","NO BC"
"438","Memecylon paniculatum","Melastomataceae","Memecylon","paniculatum",NA,"50ha, CP","both","X"
"439","Memecylon lilacinum","Melastomataceae","Memecylon","lilacinum",NA,"50ha","unlogged",NA
"440","Memecylon oleifolium","Melastomataceae","Memecylon","oleifolium",NA,"50ha","unlogged","X"
"441","Memecylon paniculatum","Melastomataceae","Memecylon","paniculatum",NA,"50ha, CP","both","X"
"442","Memecylon  species 1","Melastomataceae","Memecylon"," species 1",NA,"50ha","unlogged",NA
"443","Memecylon species 2","Melastomataceae","Memecylon","species 2",NA,"50ha","unlogged","X"
"444","Memecylon species 3","Melastomataceae","Memecylon","species 3",NA,"50ha","unlogged","X"
"445","Merope angulata","Rutaceae","Merope","angulata",NA,"50ha","unlogged","X"
"446","Kayea borneensis","Calophyllaceae","Kayea","borneensis",NA,"50ha","unlogged",NA
"447","Kayea macrantha","Calophyllaceae","Kayea","macrantha",NA,"50ha","unlogged",NA
"448","Mesua unknown mixed","Clusiaceae","Mesua","unknown mixed",NA,"50ha","unlogged",""
"449","Microcos antidesmifolia","Malvaceae","Microcos","antidesmifolia",NA,"50ha","unlogged","X"
"450","Microcos crassifolia","Malvaceae","Microcos","crassifolia",NA,"50ha, CP","both","X"
"451","Microcos fibrocarpa","Malvaceae","Microcos","fibrocarpa",NA,"50ha, CP","both","X"
"452","Microcos latistipulata","Malvaceae","Microcos","latistipulata",NA,"50ha, CP","both","X"
"453","Microcos ossea","Malvaceae","Microcos","ossea",NA,"50ha, CP","both","X"
"454","Microcos unknown mixed","Malvaceae","Microcos","unknown mixed",NA,"50ha, CP","both","X"
"455","Mischocarpus pentapetalus","Sapindaceae","Mischocarpus","pentapetalus",NA,"50ha","unlogged",""
"456","Monanthocitrus oblanceolata","Rutaceae","Monanthocitrus","oblanceolata",NA,"50ha","unlogged","X"
"457","Monocarpia borneensis","Annonaceae","Monocarpia","borneensis",NA,"50ha","unlogged","X"
"458","Monoon erianthoides","Annonaceae","Monoon","erianthoides",NA,"50ha, CP","both","X"
"459","Monoon grandiflorum","Annonaceae","Monoon","grandiflorum",NA,"50ha, CP","both","X"
"460","Monoon hookerianum","Annonaceae","Monoon","hookerianum",NA,"50ha, CP","both","X"
"461","Monoon species 1","Annonaceae","Monoon","species 1",NA,"50ha","unlogged","X"
"462","Monoon species 2","Annonaceae","Monoon","species 2",NA,"50ha","unlogged","X"
"463","Monoon xanthopetalum","Annonaceae","Monoon","xanthopetalum",NA,"50ha","unlogged","X"
"464","Myristica cinnamomea","Myristicaceae","Myristica","cinnamomea",NA,"50ha","unlogged","E00375689"
"465","Myrmeconauclea strigosa","Rubiaceae","Myrmeconauclea","strigosa",NA,"50ha","unlogged","X"
"466","Nauclea sp1","Rubiaceae","Nauclea","sp1",NA,"CP","logged",NA
"467","Nauclea subdita","Rubiaceae","Nauclea","subdita",NA,"CP","logged",NA
