"","binomial_name","family.x","genus.x","species.x","history_at_INDFORSUS_site","species_origin","logging_status","comment"
"468","Nauclea unknown mixed","Rubiaceae","Nauclea","unknown mixed",NA,"50ha, CP","both","X"
"469","Neesia synandra","Malvaceae","Neesia","synandra",NA,"50ha, CP","both","X"
"470","Neesia unknown mixed","Malvaceae","Neesia","unknown mixed",NA,"CP","logged",NA
"471","Neo-Uvaria acuminatissima","Annonaceae","Neo-Uvaria","acuminatissima",NA,"50ha","unlogged","E00194689"
"472","Neo-Uvaria unknown mixed","Annonaceae","Neo-Uvaria","unknown mixed",NA,"50ha","unlogged","X"
"473","Neo-Uvaria acuminatissima","Annonaceae","Neo-Uvaria","acuminatissima",NA,"CP","logged","E00194689"
"474","Neolamarckia cadamba","Rubiaceae","Neolamarckia","cadamba",NA,"50ha, CP","both","X"
"475","Neonauclea  gigantea","Rubiaceae","Neonauclea ","gigantea",NA,"CP","logged",NA
"476","Neonauclea sp","Rubiaceae","Neonauclea","sp",NA,"CP","logged",NA
"477","Neonauclea sp1","Rubiaceae","Neonauclea","sp1",NA,"CP","logged",NA
"478","Neoscortechinia kingii","Euphorbiaceae","Neoscortechinia","kingii",NA,"50ha, CP","both",""
"479","Nephelium cuspidatum","Sapindaceae","Nephelium","cuspidatum",NA,"50ha, CP","both","E00233960"
"480","Nephelium maingayi","Sapindaceae","Nephelium","maingayi",NA,"50ha, CP","both",""
"481","Nephelium ramboutan-ake","Sapindaceae","Nephelium","ramboutan-ake",NA,"50ha, CP","both","X1 NO BC, E00163125,E00639757"
"482","Nothaphoebe canescens","Lauraceae","Nothaphoebe","canescens",NA,"50ha, CP","both",NA
"483","Nothaphoebe heterophylla","Lauraceae","Nothaphoebe","heterophylla",NA,"50ha","unlogged",""
"484","Nothaphoebe unknown","Lauraceae","Nothaphoebe","unknown",NA,"50ha","unlogged",NA
"485","Nothaphoebe umbelliflora","Lauraceae","Nothaphoebe","umbelliflora",NA,"50ha, CP","both",""
"486","Nothaphoebe unknown mixed","Lauraceae","Nothaphoebe","unknown mixed",NA,"CP","logged",NA
"487","Nyssa javanica","Nyssaceae","Nyssa","javanica",NA,"50ha","unlogged","X"
"488","Ochanostachys amentacea","Olacaceae","Ochanostachys","amentacea",NA,"50ha, CP","both","X2 NO BC"
"489","Octomeles sumatrana","Tetramelaceae","Octomeles","sumatrana",NA,"50ha, CP","both","X"
"490","Oreocnide trinervis","Urticaceae","Oreocnide","trinervis",NA,"50ha","unlogged","X"
"491","Ormosia bancana","Fabaceae","Ormosia","bancana",NA,"50ha, CP","both","X"
"492","Orophea corymbosa","Annonaceae","Orophea","corymbosa",NA,"50ha, CP","both","X"
"493","Orophea creaghii","Annonaceae","Orophea","creaghii",NA,"50ha","unlogged","X"
"494","Orophea myriantha","Annonaceae","Orophea","myriantha",NA,"50ha, CP","both","X"
"495","Palaquium beccarianum","Sapotaceae","Palaquium","beccarianum",NA,"50ha, CP","both","X"
"496","Palaquium dasyphyllum","Sapotaceae","Palaquium","dasyphyllum",NA,"50ha, CP","both","X"
"497","Palaquium maingayi","Sapotaceae","Palaquium","maingayi",NA,"50ha, CP","both","X"
"498","Palaquium sericeum","Sapotaceae","Palaquium","sericeum",NA,"50ha","unlogged","X"
"499","Palaquium unknown mixed","Sapotaceae","Palaquium","unknown mixed",NA,"50ha","unlogged","X"
"500","Pangium edule","Achariaceae","Pangium","edule",NA,"50ha","unlogged","X"
"501","Paranephelium macrophyllum","Sapindaceae","Paranephelium","macrophyllum",NA,"50ha, CP","both",""
"502","Paranephelium xestophyllum","Sapindaceae","Paranephelium","xestophyllum",NA,"50ha, CP","both",""
"503","Parashorea malaanonan","Dipterocarpaceae","Parashorea","malaanonan","ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF","both","NO CODE"
"504","Parashorea tomentella","Dipterocarpaceae","Parashorea","tomentella","NaturalRegeneration, Unlogged","50ha, CP, IF","both","E00056481,E00172986,E00098408"
"505","Parastemon urophyllus","Chrysobalanaceae","Parastemon","urophyllus",NA,"50ha","unlogged",""
"506","Parinari excelsa","Chrysobalanaceae","Parinari","excelsa",NA,"50ha, CP","both","E00886248"
"507","Parinari oblongifolia","Chrysobalanaceae","Parinari","oblongifolia",NA,"50ha, CP","both",""
"508","Parinari unknown mixed","Chrysobalanaceae","Parinari","unknown mixed",NA,"50ha, CP","both",""
"509","Parkia speciosa","Fabaceae","Parkia","speciosa",NA,"50ha","unlogged","X"
"510","Parkia unknown mixed","Fabaceae","Parkia","unknown mixed",NA,"CP","logged",NA
"511","Pavetta wallichiana","Rubiaceae","Pavetta","wallichiana",NA,"50ha","unlogged","X"
"512","Payena Unknown species1","Sapotaceae","Payena","Unknown species1",NA,"50ha","unlogged","X"
"513","Payena acuminata","Sapotaceae","Payena","acuminata",NA,"50ha, CP","both","X"
"514","Payena microphylla","Sapotaceae","Payena","microphylla",NA,"50ha, CP","both","X"
"515","Payena unknown mixed","Sapotaceae","Payena","unknown mixed",NA,"CP","logged",NA
"516","Peltophorum racemosum","Fabaceae","Peltophorum","racemosum",NA,"50ha, CP","both","X"
"517","Pentace adenophora","Malvaceae","Pentace","adenophora",NA,"50ha, CP","both","X"
"518","Pentace laxiflora","Malvaceae","Pentace","laxiflora","NaturalRegeneration, Unlogged","50ha, CP, IF","both",""
"519","Pentace unknown mixed","Malvaceae","Pentace","unknown mixed",NA,"CP","logged",NA
"520","Phaeanthus ophthalmicus","Annonaceae","Phaeanthus","ophthalmicus",NA,"50ha","unlogged","X"
"521","Phaeanthus splendens","Annonaceae","Phaeanthus","splendens",NA,"50ha, CP","both","X"
"522","Phaleria  capitata","Thymelaeaceae","Phaleria ","capitata",NA,"CP","logged",NA
"523","Phoebe grandis","Lauraceae","Phoebe","grandis",NA,"50ha","unlogged",""
"524","Planchonia brevistipitata","Lecythidaceae","Planchonia","brevistipitata",NA,"50ha, CP","both","X"
"525","Planchonia unknown","Lecythidaceae","Planchonia","unknown",NA,"50ha","unlogged","X"
"526","Planchonia unknown mixed","Lecythidaceae","Planchonia","unknown mixed",NA,"CP","logged",NA
"527","Planchonia valida","Lecythidaceae","Planchonia","valida",NA,"50ha","unlogged","X"
"528","Urophyllum sandahanicum","Rubiaceae","Urophyllum","sandahanicum",NA,"50ha, CP","both",NA
"529","Polyalthia borneensis","Annonaceae","Polyalthia","borneensis",NA,"50ha","unlogged","X"
"530","Polyalthia cauliflora","Annonaceae","Polyalthia","cauliflora",NA,"50ha, CP","both","E00148438,E00148460,"
"531","Polyalthia insignis","Annonaceae","Polyalthia","insignis",NA,"50ha","unlogged","X"
"532","Polyalthia microtus","Annonaceae","Polyalthia","microtus",NA,"50ha","unlogged","X"
"533","Polyalthia obliqua","Annonaceae","Polyalthia","obliqua",NA,"50ha, CP","both","X"
"534","Polyalthia saprosma","Annonaceae","Polyalthia","saprosma",NA,"50ha","unlogged","X"
"535","Polyalthia species 3","Annonaceae","Polyalthia","species 3",NA,"50ha","unlogged","X"
"536","Polyosma integrifolia","Escalloniaceae","Polyosma","integrifolia",NA,"50ha","unlogged","X"
"537","Pometia pinnata","Sapindaceae","Pometia","pinnata",NA,"50ha, CP","both","NO BCC X2"
"538","Popowia hirta","Annonaceae","Popowia","hirta",NA,"50ha","unlogged",NA
"539","Popowia odoardi","Annonaceae","Popowia","odoardi",NA,"50ha","unlogged",NA
"540","Popowia pisocarpa","Annonaceae","Popowia","pisocarpa",NA,"50ha","unlogged","X"
"541","Popowia unknown mixed","Annonaceae","Popowia","unknown mixed",NA,"50ha","unlogged","X"
"542","Prainea limpato","Moraceae","Prainea","limpato",NA,"50ha","unlogged","E00898570"
"543","Praravinia suberosa","Rubiaceae","Praravinia","suberosa",NA,"50ha","unlogged","X"
"544","Praravinia unknown mixed","Rubiaceae","Praravinia","unknown mixed",NA,"50ha","unlogged","X"
"545","Praravinia verruculosa","Rubiaceae","Praravinia","verruculosa",NA,"50ha","unlogged","X"
"546","Prismatomeris beccariana","Rubiaceae","Prismatomeris","beccariana",NA,"50ha","unlogged","X"
"547","Prismatomeris species 1","Rubiaceae","Prismatomeris","species 1",NA,"50ha","unlogged","X"
"548","Prunus polystachya","Rosaceae","Prunus","polystachya",NA,"CP","logged",NA
"549","Prunus unknown mixed","Rosaceae","Prunus","unknown mixed",NA,"CP","logged",NA
"550","Pseuduvaria pamattonis","Annonaceae","Pseuduvaria","pamattonis",NA,"50ha","unlogged","X"
"551","Pseuduvaria reticulata","Annonaceae","Pseuduvaria","reticulata",NA,"50ha, CP","both","GENUS INDET E0028371"
"552","Psychotria species 1","Rubiaceae","Psychotria","species 1",NA,"50ha","unlogged","X"
"553","Psychotria species 2","Rubiaceae","Psychotria","species 2",NA,"50ha","unlogged","X"
"554","Psydrax dicoccos","Rubiaceae","Psydrax","dicoccos",NA,"50ha, CP","both",NA
"555","Pternandra coerulescens","Melastomataceae","Pternandra","coerulescens",NA,"50ha, CP","both","X"
"556","Pterospermum javanicum","Malvaceae","Pterospermum","javanicum","ActiveRestoration, Unlogged","50ha, CP, IF","both",""
"557","Pterospermum subpeltatum","Malvaceae","Pterospermum","subpeltatum",NA,"50ha","unlogged",""
"558","Pterospermum unknown mixed","Malvaceae","Pterospermum","unknown mixed",NA,"CP","logged",NA
"559","Pterygota alata","Malvaceae","Pterygota","alata",NA,"CP","logged",NA
"560","Ptychopyxis arborea","Euphorbiaceae","Ptychopyxis","arborea",NA,"50ha, CP","both",""
"561","Putranjiva roxburghii","Putranjivaceae","Putranjiva","roxburghii",NA,"50ha","unlogged",""
"562","Pyrenaria acuminata","Theaceae","Pyrenaria","acuminata",NA,"50ha","unlogged","X"
"563","Quercus argentata","Fagaceae","Quercus","argentata",NA,"50ha","unlogged","X"
"564","Quercus unknown mixed","Fagaceae","Quercus","unknown mixed",NA,"50ha","unlogged",""
"565","Reinwardtiodendron humile","Meliaceae","Reinwardtiodendron","humile",NA,"50ha, CP","both",""
"566","Rennellia borneensis","Rubiaceae","Rennellia","borneensis",NA,"50ha","unlogged","X"
"567","Rinorea bengalensis","Violaceae","Rinorea","bengalensis",NA,"50ha","unlogged","X"
"568","Rinorea congesta","Violaceae","Rinorea","congesta",NA,"50ha","unlogged","X"
"569","Rinorea unknown","Violaceae","Rinorea","unknown",NA,"50ha","unlogged","X"
"570","Ridsdalea pseudoternifolia","Rubiaceae","Ridsdalea","pseudoternifolia",NA,"50ha, CP","both",NA
"571","Ryparosa acuminata","Achariaceae","Ryparosa","acuminata",NA,"50ha, CP","both","X"
"572","Ryparosa hullettii","Achariaceae","Ryparosa","hullettii",NA,"50ha, CP","both","X"
"573","Ryparosa unknown mixed","Achariaceae","Ryparosa","unknown mixed",NA,"50ha","unlogged","X"
"574","Sageraea elliptica","Annonaceae","Sageraea","elliptica",NA,"CP","logged",NA
"575","Sageraea lanceolata","Annonaceae","Sageraea","lanceolata",NA,"50ha","unlogged","X"
"576","Sageraea sarawakensis","Annonaceae","Sageraea","sarawakensis",NA,"50ha","unlogged","X"
"577","Santiria laevigata","Burseraceae","Santiria","laevigata",NA,"50ha, CP","both",""
"578","Santiria species 1","Burseraceae","Santiria","species 1",NA,"50ha","unlogged",""
"579","Santiria tomentosa","Burseraceae","Santiria","tomentosa",NA,"50ha, CP","both",""
"580","Saraca declinata","Fabaceae","Saraca","declinata",NA,"50ha","unlogged","X"
"581","Saurauia agamae","Actinidiaceae","Saurauia","agamae",NA,"50ha","unlogged","X"
"582","Saurauia sp","Actinidiaceae","Saurauia","sp",NA,"50ha","unlogged","X"
"583","Saurauia sp","Actinidiaceae","Saurauia","sp",NA,"50ha","unlogged","X"
"584","Saurauia unknown mixed","Actinidiaceae","Saurauia","unknown mixed",NA,"50ha","unlogged","X"
"585","Scaphium longiflorum","Malvaceae","Scaphium","longiflorum",NA,"CP","logged",NA
"586","Scaphium macropodum","Malvaceae","Scaphium","macropodum",NA,"50ha, CP","both",""
"587","Scaphium unknown mixed","Malvaceae","Scaphium","unknown mixed",NA,"CP","logged",NA
"588","Scleropyrum pentandrum","Santalaceae","Scleropyrum","pentandrum",NA,"50ha","unlogged","X"
"589","Scorodocarpus borneensis","Olacaceae","Scorodocarpus","borneensis",NA,"50ha, CP","both","NO BC"
"590","Semecarpus bunburyanus","Anacardiaceae","Semecarpus","bunburyanus",NA,"50ha, CP","both",NA
"591","Anthoshorea agamae","Dipterocarpaceae","Anthoshorea","agamae",NA,"50ha, CP","both",NA
"592","Rubroshorea argentifolia","Dipterocarpaceae","Rubroshorea","argentifolia",NA,"50ha, CP","both",NA
"593","Shorea atrinervosa","Dipterocarpaceae","Shorea","atrinervosa",NA,"50ha, CP","both","X"
"594","Rubroshorea beccariana","Dipterocarpaceae","Rubroshorea","beccariana",NA,"CP","logged",NA
"595","Richetia faguetiana","Dipterocarpaceae","Richetia","faguetiana","Unlogged, ActiveRestoration, NaturalRegeneration","50ha, CP, IF","both",NA
"596","Rubroshorea fallax","Dipterocarpaceae","Rubroshorea","fallax","NaturalRegeneration","CP, IF","logged",NA
"597","Rubroshorea gibbosa","Dipterocarpaceae","Rubroshorea","gibbosa","ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF","both",NA
"598","Rubroshorea johorensis","Dipterocarpaceae","Rubroshorea","johorensis","ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF","both",NA
"599","Rubroshorea leprosula","Dipterocarpaceae","Rubroshorea","leprosula","ActiveRestoration, Unlogged","50ha, CP, IF","both",NA
"600","Shorea leptoderma","Dipterocarpaceae","Shorea","leptoderma",NA,"50ha","unlogged","X"
"601","Rubroshorea macrophylla","Dipterocarpaceae","Rubroshorea","macrophylla","ActiveRestoration","CP, IF","logged",NA
"602","Rubroshorea macroptera","Dipterocarpaceae","Rubroshorea","macroptera",NA,"CP","logged",NA
"603","Rubroshorea mecistopteryx","Dipterocarpaceae","Rubroshorea","mecistopteryx",NA,"CP","logged",NA
"604","Rubroshorea ovalis","Dipterocarpaceae","Rubroshorea","ovalis",NA,"CP","logged",NA
"605","Rubroshorea ovata","Dipterocarpaceae","Rubroshorea","ovata",NA,"CP","logged",NA
"606","Rubroshorea parvifolia","Dipterocarpaceae","Rubroshorea","parvifolia","ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF","both",NA
"607","Rubroshorea pauciflora","Dipterocarpaceae","Rubroshorea","pauciflora","ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF","both",NA
"608","Shorea seminis","Dipterocarpaceae","Shorea","seminis","Unlogged","50ha, CP, IF","both","E00166908"
"609","Shorea sp","Dipterocarpaceae","Shorea","sp",NA,"CP","logged",NA
"610","Shorea superba","Dipterocarpaceae","Shorea","superba",NA,"50ha, CP","both",""
"611","Anthoshorea symingtonii","Dipterocarpaceae","Anthoshorea","symingtonii","Unlogged","50ha, IF","unlogged",NA
"612","Shorea unknown mixed","Dipterocarpaceae","Shorea","unknown mixed",NA,"50ha, CP","both",""
"613","Sindora irpicina","Fabaceae","Sindora","irpicina",NA,"50ha, CP","both","X"
"614","Sloanea javanica","Elaeocarpaceae","Sloanea","javanica",NA,"50ha","unlogged",""
"615","Spathiostemon javensis","Euphorbiaceae","Spathiostemon","javensis",NA,"50ha, CP","both",""
"616","Spathiostemon javensis","Euphorbiaceae","Spathiostemon","javensis",NA,"50ha, CP","both",""
"617","Stemonurus grandifolius","Stemonuraceae","Stemonurus","grandifolius",NA,"50ha, CP","both","X"
"618","Stemonurus malaccensis","Stemonuraceae","Stemonurus","malaccensis",NA,"50ha","unlogged","X"
"619","Stemonurus scorpioides","Stemonuraceae","Stemonurus","scorpioides",NA,"50ha, CP","both",NA
"620","Stemonurus unknown mixed","Stemonuraceae","Stemonurus","unknown mixed",NA,"50ha, CP","both","X"
"621","Sterculia lanceolata","Malvaceae","Sterculia","lanceolata",NA,"50ha","unlogged",NA
"622","Sterculia cordata","Malvaceae","Sterculia","cordata",NA,"50ha, CP","both",""
"623","Sterculia rubiginosa","Malvaceae","Sterculia","rubiginosa",NA,"50ha","unlogged","E00057022"
"624","Sterculia stipulata","Malvaceae","Sterculia","stipulata",NA,"50ha","unlogged","E00114368,E00166691"
"625","Sterculia unknown mixed","Malvaceae","Sterculia","unknown mixed",NA,"50ha","unlogged",""
"626","Paratrophis glabra","Moraceae","Paratrophis","glabra",NA,"50ha","unlogged",NA
"627","Strombosia ceylanica","Olacaceae","Strombosia","ceylanica",NA,"50ha","unlogged",""
"628","Suregada multiflora","Euphorbiaceae","Suregada","multiflora",NA,"50ha","unlogged",""
"629","Sympetalandra unijuga","Fabaceae","Sympetalandra","unijuga",NA,"CP","logged",NA
"630","Symplocos fasciculata","Symplocaceae","Symplocos","fasciculata",NA,"50ha, CP","both","X"
"631","Symplocos odoratissima","Symplocaceae","Symplocos","odoratissima",NA,"50ha","unlogged","X"
"632","Symplocos unknown mixed","Symplocaceae","Symplocos","unknown mixed",NA,"CP","logged",NA
"633","Syzygium barringtonioides","Myrtaceae","Syzygium","barringtonioides",NA,"50ha","unlogged","X"
"634","Syzygium christmannii","Myrtaceae","Syzygium","christmannii",NA,"50ha","unlogged","X"
"635","Syzygium creaghii","Myrtaceae","Syzygium","creaghii",NA,"50ha","unlogged","X"
"636","Syzygium elliptilimbum","Myrtaceae","Syzygium","elliptilimbum",NA,"50ha","unlogged","X"
"637","Syzygium elopurae","Myrtaceae","Syzygium","elopurae",NA,"50ha","unlogged","X"
"638","Syzygium fastigiatum","Myrtaceae","Syzygium","fastigiatum",NA,"50ha","unlogged","X"
"639","Syzygium hirtum","Myrtaceae","Syzygium","hirtum",NA,"50ha, CP","both","X"
"640","Syzygium imperiale","Myrtaceae","Syzygium","imperiale",NA,"50ha","unlogged","X"
"641","Syzygium kiauense","Myrtaceae","Syzygium","kiauense",NA,"50ha","unlogged",NA
"642","Syzygium kunstleri","Myrtaceae","Syzygium","kunstleri",NA,"50ha","unlogged","X"
"643","Syzygium leptostemon","Myrtaceae","Syzygium","leptostemon",NA,"50ha","unlogged","X"
"644","Syzygium panzeri","Myrtaceae","Syzygium","panzeri",NA,"50ha","unlogged","X"
"645","Syzygium penibukanense","Myrtaceae","Syzygium","penibukanense",NA,"50ha","unlogged","X"
"646","Syzygium pustulatum","Myrtaceae","Syzygium","pustulatum",NA,"50ha","unlogged","X"
"647","Syzygium scortechinii","Myrtaceae","Syzygium","scortechinii",NA,"50ha","unlogged","X"
"648","Syzygium tawahense","Myrtaceae","Syzygium","tawahense",NA,"50ha","unlogged",NA
"649","Syzygium unknown mixed","Myrtaceae","Syzygium","unknown mixed",NA,"50ha, CP","both","X"
"650","Tabernaemontana macrocarpa","Apocynaceae","Tabernaemontana","macrocarpa",NA,"50ha","unlogged","NO BC,E00220033"
"651","Tabernaemontana pauciflora","Apocynaceae","Tabernaemontana","pauciflora",NA,"50ha","unlogged",""
"652","Tabernaemontana unknown mixed","Apocynaceae","Tabernaemontana","unknown mixed",NA,"50ha","unlogged",""
"653","unknown unknown","Magnoliaceae","unknown","unknown",NA,"CP","logged",NA
"654","unknown unknown mixed","Magnoliaceae","unknown","unknown mixed",NA,"CP","logged",NA
"655","Teijsmanniodendron bogoriense","Lamiaceae","Teijsmanniodendron","bogoriense",NA,"50ha","unlogged",""
"656","Teijsmanniodendron pteropodum","Lamiaceae","Teijsmanniodendron","pteropodum",NA,"CP","logged",NA
"657","Teijsmanniodendron unknown mixed","Lamiaceae","Teijsmanniodendron","unknown mixed",NA,"CP","logged",NA
"658","Terminalia citrina","Combretaceae","Terminalia","citrina",NA,"50ha","unlogged","X"
"659","Terminalia ivorensis","Combretaceae","Terminalia","ivorensis",NA,"50ha","unlogged","X"
"660","Terminalia phellocarpa","Combretaceae","Terminalia","phellocarpa",NA,"50ha","unlogged","X"
"661","Terminalia species 1","Combretaceae","Terminalia","species 1",NA,"50ha","unlogged","X"
"662","Terminalia species 2","Combretaceae","Terminalia","species 2",NA,"50ha","unlogged","X"
"663","Timonius lasianthoides","Rubiaceae","Timonius","lasianthoides",NA,"50ha","unlogged","X"
"664","Timonius wallichianus","Rubiaceae","Timonius","wallichianus",NA,"50ha","unlogged","X"
"665","Triomma malaccensis","Burseraceae","Triomma","malaccensis",NA,"50ha, CP","both",""
"666","Dalrympelea sphaerocarpa","Staphyleaceae","Dalrympelea","sphaerocarpa",NA,"50ha","unlogged",NA
"667","Unknown species 8","Annonaceae","Unknown","species 8",NA,"CP","logged",NA
"668","Unknown unknown mixed","Annonaceae","Unknown","unknown mixed",NA,"CP","logged",NA
"669","Urophyllum  glabrum","Rubiaceae","Urophyllum ","glabrum",NA,"CP","logged",NA
"670","Urophyllum  unknown mixed","Rubiaceae","Urophyllum ","unknown mixed",NA,"CP","logged",NA
"671","Vatica albiramis","Dipterocarpaceae","Vatica","albiramis",NA,"50ha, CP","both",""
"672","Vatica chartacea","Dipterocarpaceae","Vatica","chartacea",NA,"50ha","unlogged",""
"673","Vatica dulitensis","Dipterocarpaceae","Vatica","dulitensis",NA,"CP","logged",NA
"674","Vatica oblongifolia","Dipterocarpaceae","Vatica","oblongifolia",NA,"50ha","unlogged","E00059540,E00172985,E00071818,E00056480,E00176370,E00160442"
"675","Vatica sarawakensis","Dipterocarpaceae","Vatica","sarawakensis",NA,"50ha, CP","both","E00029084"
"676","Vatica umbonata","Dipterocarpaceae","Vatica","umbonata",NA,"50ha","unlogged","E00098410"
"677","Vitex pinnata","Lamiaceae","Vitex","pinnata",NA,"50ha, CP","both",""
"678","Walsura pachycaulon","Meliaceae","Walsura","pachycaulon",NA,"50ha","unlogged","1 NO BC,,E00046824"
"679","Walsura pinnata","Meliaceae","Walsura","pinnata",NA,"50ha, CP","both","E00046812"
"680","Walsura species 1","Meliaceae","Walsura","species 1",NA,"50ha","unlogged",""
"681","Xanthophyllum adenotus","Polygalaceae","Xanthophyllum","adenotus",NA,"50ha","unlogged","X"
"682","Xanthophyllum flavescens","Polygalaceae","Xanthophyllum","flavescens",NA,"50ha, CP","both","X2 NO BC"
"683","Xanthophyllum pachycarpon","Polygalaceae","Xanthophyllum","pachycarpon",NA,"50ha","unlogged","X"
"684","Xanthophyllum reticulatum","Polygalaceae","Xanthophyllum","reticulatum",NA,"50ha","unlogged","X"
"685","Xanthophyllum species 1","Polygalaceae","Xanthophyllum","species 1",NA,"50ha","unlogged","X"
"686","Xanthophyllum species 2","Polygalaceae","Xanthophyllum","species 2",NA,"50ha","unlogged","X"
"687","Xanthophyllum species 3","Polygalaceae","Xanthophyllum","species 3",NA,"50ha","unlogged","X"
"688","Xanthophyllum species 4","Polygalaceae","Xanthophyllum","species 4",NA,"50ha","unlogged","X"
"689","Xanthophyllum species 5","Polygalaceae","Xanthophyllum","species 5",NA,"50ha","unlogged","X"
"690","Xanthophyllum species 6","Polygalaceae","Xanthophyllum","species 6",NA,"50ha","unlogged","X"
"691","Xanthophyllum species 7","Polygalaceae","Xanthophyllum","species 7",NA,"50ha","unlogged","X"
"692","Xanthophyllum unknown mixed","Polygalaceae","Xanthophyllum","unknown mixed",NA,"CP","logged",NA
"693","Xanthophyllum vitellinum","Polygalaceae","Xanthophyllum","vitellinum",NA,"50ha","unlogged","X"
"694","Xylopia ferruginea","Annonaceae","Xylopia","ferruginea",NA,"50ha, CP","both","X"
"695","Ziziphus augustifolia","Rhamnaceae","Ziziphus","augustifolia",NA,"50ha, CP","both",NA
