original_binomial_name,original_family,original_genus,original_species,family ,genus,species,comments,history_at_INDFORSUS_site,species_origin,logging_status
Dimorphocalyx murinus,Euphorbiaceae,Dimorphocalyx,murinus,Euphorbiaceae,Tritaxis,denticulata,Dimorphocalyx murinus is a synonymn for Tritaxis denticulata,NA,"50ha, CP",both
Diospyros andamanica,Ebenaceae,Diospyros,andamanica,Ebenaceae,Diospyros,andamanica,,NA,"50ha, CP",both
Diospyros borneensis,Ebenaceae,Diospyros,borneensis,Ebenaceae,Diospyros,borneensis,,NA,50ha,unlogged
Diospyros cauliflora,Ebenaceae,Diospyros,cauliflora,Ebenaceae,Diospyros,cauliflora,,NA,"50ha, CP",both
Diospyros curranii,Ebenaceae,Diospyros,curranii,Ebenaceae,Diospyros,curranii,,NA,"50ha, CP",both
Diospyros daemona,Ebenaceae,Diospyros,daemona,Ebenaceae,Diospyros,daemona,,NA,50ha,unlogged
Diospyros dictyoneura,Ebenaceae,Diospyros,dictyoneura,Ebenaceae,Diospyros,dictyoneura,,NA,"50ha, CP",both
Diospyros diepenhorstii,Ebenaceae,Diospyros,diepenhorstii,Ebenaceae,Diospyros,diepenhorstii,,NA,50ha,unlogged
Diospyros elliptifolia,Ebenaceae,Diospyros,elliptifolia,Ebenaceae,Diospyros,elliptifolia,,NA,"50ha, CP",both
Diospyros euphlebia,Ebenaceae,Diospyros,euphlebia,Ebenaceae,Diospyros,euphlehia,euphlebia corrected to euphlehia,NA,"50ha, CP",both
Diospyros frutescens,Ebenaceae,Diospyros,frutescens,Ebenaceae,Diospyros,frutescens,,NA,"50ha, CP",both
Diospyros macrophylla,Ebenaceae,Diospyros,macrophylla,Ebenaceae,Diospyros,peregrina,Diospyros macrophylla is a synonym of Diospyros peregrina,NA,"50ha, CP",both
Diospyros muricata,Ebenaceae,Diospyros,muricata,Ebenaceae,Diospyros,muricata,,NA,"50ha, CP",both
Diospyros pilosanthera,Ebenaceae,Diospyros,pilosanthera,Ebenaceae,Diospyros,oblonga,Diospyros pilosanthera is a synonym of Diospyros oblonga,NA,"50ha, CP",both
Diospyros pyrrhocarpa,Ebenaceae,Diospyros,pyrrhocarpa,Ebenaceae,Diospyros,pyrrhocarpa,,NA,50ha,unlogged
Diospyros species 1,Ebenaceae,Diospyros,species 1,Ebenaceae,Diospyros,species 1,not identified to species level,NA,50ha,unlogged
Diospyros species 2,Ebenaceae,Diospyros,species 2,Ebenaceae,Diospyros,species 2,not identified to species level,NA,50ha,unlogged
Diospyros species 3,Ebenaceae,Diospyros,species 3,Ebenaceae,Diospyros,species 3,not identified to species level,NA,50ha,unlogged
Diospyros species 4,Ebenaceae,Diospyros,species 4,Ebenaceae,Diospyros,species 4,not identified to species level,NA,50ha,unlogged
Diospyros species 6,Ebenaceae,Diospyros,species 6,Ebenaceae,Diospyros,species 6,not identified to species level,NA,50ha,unlogged
Diospyros species 7,Ebenaceae,Diospyros,species 7,Ebenaceae,Diospyros,species 7,not identified to species level,NA,50ha,unlogged
Diospyros squamaefolia,Ebenaceae,Diospyros,squamaefolia,Ebenaceae,Diospyros,squamifolia ,squamaefolia corrected to squamifolia,NA,50ha,unlogged
Diospyros toposia,Ebenaceae,Diospyros,toposia,Ebenaceae,Diospyros,toposia,,NA,"50ha, CP",both
Diospyros tuberculata,Ebenaceae,Diospyros,tuberculata,Ebenaceae,Diospyros,tuberculata,,NA,"50ha, CP",both
Diospyros unknown mixed,Ebenaceae,Diospyros,unknown mixed,Ebenaceae,Diospyros,unknown mixed,not identified to species level,NA,CP,logged
Diospyros wallichii,Ebenaceae,Diospyros,wallichii,Ebenaceae,Diospyros,wallichii,,NA,50ha,unlogged
Diplospora malaccensis,Rubiaceae,Diplospora,malaccensis,Rubiaceae,Discospermum,malaccense,Diplospora malaccensis is a synonym of Discospermum malaccense,NA,"50ha, CP",both
Diplospora unknown mixed,Rubiaceae,Diplospora,unknown mixed,Rubiaceae,Diplospora,unknown mixed,not identified to species level,NA,50ha,unlogged
Dipterocarpus applanatus,Dipterocarpaceae,Dipterocarpus,applanatus,Dipterocarpaceae,Dipterocarpus,applanatus,,NA,CP,logged
Dipterocarpus caudiferus,Dipterocarpaceae,Dipterocarpus,caudiferus,Dipterocarpaceae,Dipterocarpus,caudifer,caudiferus corrected to caudifer,"NaturalRegeneration, ActiveRestoration","CP, IF",logged
Dipterocarpus unknown mixed,Dipterocarpaceae,Dipterocarpus,unknown mixed,Dipterocarpaceae,Dipterocarpus,unknown mixed,not identified to species level,NA,CP,logged
Dracontomelon costatum,Anacardiaceae,Dracontomelon,costatum,Anacardiaceae,Dracontomelon,costatum,,NA,50ha,unlogged
Dracontomelon dao,Anacardiaceae,Dracontomelon,dao,Anacardiaceae,Dracontomelon,dao,,NA,"50ha, CP",both
Dracontomelon unknown mixed,Anacardiaceae,Dracontomelon,unknown mixed,Anacardiaceae,Dracontomelon,unknown mixed,not identified to species level,NA,50ha,unlogged
Drepanthus havilandii,Annonaceae,Drepanthus,havilandii,Annonaceae,Drepananthus,havilandii,Drepanthus corrected to Drepananthus,NA,CP,logged
Dryobalanops lanceolata,Dipterocarpaceae,Dryobalanops,lanceolata,Dipterocarpaceae,Dryobalanops,lanceolata,,"ActiveRestoration, Unlogged","50ha, CP, IF",both
Drypetes castilloi,Putranjivaceae,Drypetes,castilloi,Putranjivaceae,Drypetes,castilloi,,NA,"50ha, CP",both
Drypetes eriocarpa,Putranjivaceae,Drypetes,eriocarpa,Putranjivaceae,Drypetes,eriocarpa,,NA,"50ha, CP",both
Drypetes longifolia,Putranjivaceae,Drypetes,longifolia,Putranjivaceae,Drypetes,longifolia,,NA,"50ha, CP",both
Drypetes subcrenata,Putranjivaceae,Drypetes,subcrenata,Putranjivaceae,Drypetes,subcrenata,,NA,50ha,unlogged
Drypetes unknown mixed,Putranjivaceae,Drypetes,unknown mixed,Putranjivaceae,Drypetes,unknown mixed,not identified to species level,NA,"50ha, CP",both
Duabanga moluccana,Sonneratiaceae,Duabanga,moluccana,Lythraceae,Duabanga,moluccana,family corrected,NA,"50ha, CP",both
Durio graveolens,Malvaceae,Durio,graveolens,Malvaceae,Durio,graveolens,,NA,"50ha, CP",both
Durio unknown mixed,Malvaceae,Durio,unknown mixed,Malvaceae,Durio,unknown mixed,not identified to species level,NA,"50ha, CP",both
Dysoxylum alliaceum,Meliaceae,Dysoxylum,alliaceum,Meliaceae,Prasoxylon,alliaceum,Dysoxylum alliaceum is a synonym of Prasoxylon alliaceum,NA,50ha,unlogged
Dysoxylum arborescens,Meliaceae,Dysoxylum,arborescens,Meliaceae,Goniocheton,arborescens,Dysoxylum arborescens is a synonym of Goniocheton arborescens,NA,50ha,unlogged
Dysoxylum cauliflorum,Meliaceae,Dysoxylum,cauliflorum,Meliaceae,Epicharis,cumingiana,Dysoxylum cauliflorum is a synonym of Epicharis cumingiana. Not registered on POWO as occuring in Borneo,NA,50ha,unlogged
Dysoxylum cyrtobotryum,Meliaceae,Dysoxylum,cyrtobotryum,Meliaceae,Dysoxylum,cyrtobotryum,,NA,"50ha, CP",both
Dysoxylum excelsum,Meliaceae,Dysoxylum,excelsum,Meliaceae,Prasoxylon,excelsum,Dysoxylum excelsum is a synonym of Prasoxylon excelsum,NA,50ha,unlogged
Dysoxylum gaudichaudianum,Meliaceae,Dysoxylum,gaudichaudianum,Meliaceae,Didymocheton,gaudichaudianus,Dysoxylum gaudichaudianum is a synonym of Didymocheton gaudichaudianus,NA,50ha,unlogged
Dysoxylum grande,Meliaceae,Dysoxylum,grande,Meliaceae,Dysoxylum,grande,,NA,50ha,unlogged
Dysoxylum oppositifolium,Meliaceae,Dysoxylum,oppositifolium,Meliaceae,Dysoxylum,oppositifolium,,NA,50ha,unlogged
Dysoxylum parasiticum,Meliaceae,Dysoxylum,parasiticum,Meliaceae,Epicharis,parasitica,Dysoxylum parasiticum is a synonym of Epicharis parasitica,NA,50ha,unlogged
Dysoxylum rigidum,Meliaceae,Dysoxylum,rigidum,Meliaceae,Prasoxylon,rigidum,Dysoxylum rigidum is a synonym of Prasoxylon rigidum,NA,"50ha, CP",both
Dysoxylum unknown mixed,Meliaceae,Dysoxylum,unknown mixed,Meliaceae,Dysoxylum,unknown mixed,not identified to species level,NA,"50ha, CP",both
Elaeocarpus brunnescens,Elaeocarpaceae,Elaeocarpus,brunnescens,Elaeocarpaceae,Elaeocarpus,brunnescens,,NA,50ha,unlogged
Elaeocarpus stipularis,Elaeocarpaceae,Elaeocarpus,stipularis,Elaeocarpaceae,Elaeocarpus,stipularis,,NA,"50ha, CP",both
Elaeocarpus unknown mixed,Elaeocarpaceae,Elaeocarpus,unknown mixed,Elaeocarpaceae,Elaeocarpus,unknown mixed,not identified to species level,NA,"50ha, CP",both
Endospermum diadenum,Euphorbiaceae,Endospermum,diadenum,Euphorbiaceae,Endospermum,diadenum,,NA,"50ha, CP",both
Engelhardia danumensis,Juglandaceae,Engelhardia,danumensis,Juglandaceae,Engelhardia,danumensis,,NA,50ha,unlogged
Erycibe borneensis,Convolvulaceae,Erycibe,borneensis,Convolvulaceae,Erycibe,borneensis,,NA,"50ha, CP",both
Erythroxylum cuneatum,Erythroxylaceae,Erythroxylum,cuneatum,Erythroxylaceae,Erythroxylum,cuneatum,,NA,50ha,unlogged
Eurycoma longifolia,Simaroubaceae,Eurycoma,longifolia,Simaroubaceae,Eurycoma,longifolia,,NA,50ha,unlogged
Eusideroxylon zwageri,Lauraceae,Eusideroxylon,zwageri,Lauraceae,Eusideroxylon,zwageri,,NA,"50ha, CP",both
Fagraea cuspidata,Gentianaceae,Fagraea,cuspidata,Gentianaceae,Utania,cuspidata,Fragreae cuspidata is a synonym of Utania cuspidata,NA,"50ha, CP",both
Fagraea unknown mixed,Gentianaceae,Fagraea,unknown mixed,Gentianaceae,Fagraea,unknown mixed,not identified to species level,NA,50ha,unlogged
Ficus beccarii,Moraceae,Ficus,beccarii,Moraceae,Ficus,beccarii,,NA,50ha,unlogged
Ficus lepicarpa,Moraceae,Ficus,lepicarpa,Moraceae,Ficus,lepicarpa,,NA,50ha,unlogged
Ficus mixed,Moraceae,Ficus,mixed,Moraceae,Ficus,mixed,not identified to species level,NA,50ha,unlogged
Ficus obscura,Moraceae,Ficus,obscura,Moraceae,Ficus,obscura,not identified to species level,NA,50ha,unlogged
Ficus sinuata,Moraceae,Ficus,sinuata,Moraceae,Ficus,sinuata,not identified to species level,NA,50ha,unlogged
Ficus species 1,Moraceae,Ficus,species 1,Moraceae,Ficus,species 1,not identified to species level,NA,50ha,unlogged
Ficus species 2,Moraceae,Ficus,species 2,Moraceae,Ficus,species 2,not identified to species level,NA,50ha,unlogged
Ficus species 3,Moraceae,Ficus,species 3,Moraceae,Ficus,species 3,not identified to species level,NA,50ha,unlogged
Ficus species 4,Moraceae,Ficus,species 4,Moraceae,Ficus,species 4,not identified to species level,NA,50ha,unlogged
Ficus species 5,Moraceae,Ficus,species 5,Moraceae,Ficus,species 5,not identified to species level,NA,50ha,unlogged
Ficus species 6,Moraceae,Ficus,species 6,Moraceae,Ficus,species 6,not identified to species level,NA,50ha,unlogged
Ficus species 7,Moraceae,Ficus,species 7,Moraceae,Ficus,species 7,not identified to species level,NA,50ha,unlogged
Ficus species 8,Moraceae,Ficus,species 8,Moraceae,Ficus,species 8,not identified to species level,NA,50ha,unlogged
Ficus stolonifera,Moraceae,Ficus,stolonifera,Moraceae,Ficus,stolonifera,,NA,50ha,unlogged
Ficus unknown mixed,Moraceae,Ficus,unknown mixed,Moraceae,Ficus,unknown mixed,not identified to species level,NA,CP,logged
Ficus variegata,Moraceae,Ficus,variegata,Moraceae,Ficus,variegata,,NA,"50ha, CP",both
Flacourtia rukam,Salicaceae,Flacourtia,rukam,Salicaceae,Flacourtia,rukam,,NA,50ha,unlogged
Fordia brachybotrys,Fabaceae,Fordia,brachybotrys,Fabaceae,Fordia,brachybotrys,,NA,"50ha, CP",both
Fordia gibbsiae,Fabaceae,Fordia,gibbsiae,Fabaceae,Fordia,splendidissima,Fordia gibbsiae is a synonym for Fordia splendidissima,NA,50ha,unlogged
Fordia species 1,Fabaceae,Fordia,species 1,Fabaceae,Fordia,species 1,not identified to species level,NA,50ha,unlogged
Fordia species 3,Fabaceae,Fordia,species 3,Fabaceae,Fordia,species 3,not identified to species level,NA,50ha,unlogged
Fordia splendidissima,Fabaceae,Fordia,splendidissima,Fabaceae,Fordia,splendidissima,the two records of Fordia splendidissima should be merged,NA,"50ha, CP",both
Fordia unknown mixed,Fabaceae,Fordia,unknown mixed,Fabaceae,Fordia,unknown mixed,not identified to species level,NA,CP,logged
Galearia fulva,Pandaceae,Galearia,fulva,Pandaceae,Galearia,fulva,,NA,"50ha, CP",both
Garcinia andersonii,Clusiaceae,Garcinia,andersonii,Clusiaceae,Garcinia,nervosa,Garcinia forbesii is a synonym of Garcinia nervosa,NA,"50ha, CP",both
Garcinia forbesii,Clusiaceae,Garcinia,forbesii,Clusiaceae,Garcinia,forbesii,,NA,"50ha, CP",both
Garcinia gaudichaudii,Clusiaceae,Garcinia,gaudichaudii,Clusiaceae,Garcinia,gaudichaudii,not recorded as occuring in borneo,NA,50ha,unlogged
Garcinia parvifolia,Clusiaceae,Garcinia,parvifolia,Clusiaceae,Garcinia,parvifolia,,NA,50ha,unlogged
Garcinia unknown mixed,Clusiaceae,Garcinia,unknown mixed,Clusiaceae,Garcinia,unknown mixed,not identified to species level,NA,CP,logged
Gardenia carinata,Rubiaceae,Gardenia,carinata,Rubiaceae,Gardenia,carinata,not recorded as occuring in borneo,NA,50ha,unlogged
Gironniera nervosa,Ulmaceae,Gironniera,nervosa,Cannabaceae,Gironniera,nervosa,family corrected,NA,"50ha, CP",both
Gironniera species 1,Cannabaceae,Gironniera,species 1,Cannabaceae,Gironniera,species 1,not identified to species level,NA,50ha,unlogged
Glochidion borneensis,Phyllanthaceae,Glochidion,borneensis,Phyllanthaceae,Phyllanthus ,borneensis,Glochidion borneensis is a synonym of Phyllanthus borneensis,NA,50ha,unlogged
Glochidion elmari,Phyllanthaceae,Glochidion,elmari,Phyllanthaceae,Glochidion,elmeri,elmari corrected to elmeri,NA,"50ha, CP",both
Glochidion lanceisepalum,Phyllanthaceae,Glochidion,lanceisepalum,Phyllanthaceae,Phyyanthus ,lancisepalus,Globhidion lancisepalum is a synonym for Phyllanthus lancisepalus,NA,"50ha, CP",both
Glochidion pubicapsa,Phyllanthaceae,Glochidion,pubicapsa,Phyllanthaceae,Glochidion,pubicapsa,,NA,"50ha, CP",both
Glochidion rubrum,Phyllanthaceae,Glochidion,rubrum,Phyllanthaceae,Phyllanthus ,subscandens,,NA,"50ha, CP",both
Glochidion species 1,Phyllanthaceae,Glochidion,species 1,Phyllanthaceae,Glochidion,species 1,not identified to species level,NA,50ha,unlogged
Glochidion species 2,Phyllanthaceae,Glochidion,species 2,Phyllanthaceae,Glochidion,species 2,not identified to species level,NA,50ha,unlogged
Glochidion species 3,Phyllanthaceae,Glochidion,species 3,Phyllanthaceae,Glochidion,species 3,not identified to species level,NA,50ha,unlogged
Glochidion species 4,Phyllanthaceae,Glochidion,species 4,Phyllanthaceae,Glochidion,species 4,not identified to species level,NA,50ha,unlogged
Glochidion species 6,Phyllanthaceae,Glochidion,species 6,Phyllanthaceae,Glochidion,species 5,not identified to species level,NA,50ha,unlogged
Glochidion unknown mixed,Phyllanthaceae,Glochidion,unknown mixed,Phyllanthaceae,Glochidion,unknown mixed, not identified to species level,NA,"50ha, CP",both
Glycosmis chlorosperma,Rutaceae,Glycosmis,chlorosperma,Rutaceae,Glycosmis,chlorosperma,,NA,50ha,unlogged
Glycosmis macrantha,Rutaceae,Glycosmis,macrantha,Rutaceae,Glycosmis,macrantha,,NA,"50ha, CP",both
Glycosmis unknown mixed,Rutaceae,Glycosmis,unknown mixed,Rutaceae,Glycosmis,unknown mixed,not identified to species level,NA,50ha,unlogged
Gomphandra quadrifida,Stemonuraceae,Gomphandra,quadrifida,Stemonuraceae,Gomphandra,quadrifida,,NA,50ha,unlogged
Goniothalamus gigantifolius,Annonaceae,Goniothalamus,gigantifolius,Annonaceae,Goniothalamus,gigantifolius,,NA,50ha,unlogged
Goniothalamus species 1,Annonaceae,Goniothalamus,species 1,Annonaceae,Goniothalamus,species 1,not identified to species level,NA,50ha,unlogged
Goniothalamus species 2,Annonaceae,Goniothalamus,species 2,Annonaceae,Goniothalamus,species 2,not identified to species level,NA,50ha,unlogged
Goniothalamus species 3,Annonaceae,Goniothalamus,species 3,Annonaceae,Goniothalamus,species 3,not identified to species level,NA,50ha,unlogged
Goniothalamus uvarioides,Annonaceae,Goniothalamus,uvarioides,Annonaceae,Goniothalamus,uvarioides,not recorded as occuring in borneo,NA,"50ha, CP",both
Goniothalamus woodii,Annonaceae,Goniothalamus,woodii,Annonaceae,Goniothalamus,woodii,,NA,50ha,unlogged
Gonocaryum calleryanum,Cardiopteridaceae,Gonocaryum,calleryanum,Cardiopteridaceae,Gonocaryum,calleryanum,,NA,50ha,unlogged
Gonocaryum macrophyllum,Cardiopteridaceae,Gonocaryum,macrophyllum,Cardiopteridaceae,Gonocaryum,macrophyllum,,NA,50ha,unlogged
Gonystylus keithii,Thymelaeaceae,Gonystylus,keithii,Thymelaeaceae,Gonystylus,keithii,,NA,50ha,unlogged
Guioa pleuropteris,Sapindaceae,Guioa,pleuropteris,Sapindaceae,Guioa,pleuropteris,,NA,"50ha, CP",both
Hancea penangensis,Euphorbiaceae,Hancea,penangensis,Euphorbiaceae,Hancea,penangensis,,NA,50ha,unlogged
Harpullia arborea,Sapindaceae,Harpullia,arborea,Sapindaceae,Harpullia,arborea,,NA,50ha,unlogged
Harpullia species 1,Sapindaceae,Harpullia,species 1,Sapindaceae,Harpullia,species 1,not identified to species level,NA,50ha,unlogged
Helicia excelsa,Proteaceae,Helicia,excelsa,Proteaceae,Helicia,excelsa,,NA,"50ha, CP",both
Helicia robusta,Proteaceae,Helicia,robusta,Proteaceae,Helicia,robusta,,NA,"50ha, CP",both
Heliciopsis artocarpoides,Proteaceae,Heliciopsis,artocarpoides,Proteaceae,Heliciopsis,artocarpoides,,NA,50ha,unlogged
Heritiera elata,Malvaceae,Heritiera,elata,Malvaceae,Heritiera,elata,not recorded as occuring in borneo,NA,50ha,unlogged
Homalium foetidum,Salicaceae,Homalium,foetidum,Salicaceae,Homalium,foetidum,,NA,50ha,unlogged
Hopea ferruginea,Dipterocarpaceae,Hopea,ferruginea,Dipterocarpaceae,Hopea,ferruginea,,NA,"50ha, CP",both
Hopea nervosa,Dipterocarpaceae,Hopea,nervosa,Dipterocarpaceae,Hopea,nervosa,,NA,"50ha, CP",both
Hopea pentanervia,Dipterocarpaceae,Hopea,pentanervia,Dipterocarpaceae,Hopea,pentanervia,,NA,50ha,unlogged
Hopea plagata,Dipterocarpaceae,Hopea,plagata,Dipterocarpaceae,Hopea,plagata,,NA,50ha,unlogged
Hopea sangal,Dipterocarpaceae,Hopea,sangal,Dipterocarpaceae,Hopea,sangal,,NA,"50ha, CP",both
Hopea unknown mixed,Dipterocarpaceae,Hopea,unknown mixed,Dipterocarpaceae,Hopea,unknown mixed,not identified to species level,NA,"50ha, CP",both
Horsfieldia irya,Myristicaceae,Horsfieldia,irya,Myristicaceae,Horsfieldia,irya,,NA,50ha,unlogged
Horsfieldia polyspherula,Myristicaceae,Horsfieldia,polyspherula,Myristicaceae,Horsfieldia,polyspherula,,NA,"50ha, CP",both
Horsfieldia unknown mixed,Myristicaceae,Horsfieldia,unknown mixed,Myristicaceae,Horsfieldia,unknown mixed,not identified to species level,NA,50ha,unlogged
Hubera rumphii,Annonaceae,Hubera,rumphii,Annonaceae,Huberantha,rumphii,Hubera rumphii is a synonym of Huberantha rumphii,NA,CP,logged
Hydnocarpus anomala,Achariaceae,Hydnocarpus,anomala,Achariaceae,Hydnocarpus,anomalus,anomala corrected to anomalus,NA,CP,logged
Hydnocarpus borneensis,Achariaceae,Hydnocarpus,borneensis,Achariaceae,Hydnocarpus,borneensis,,NA,"50ha, CP",both
Hydnocarpus polypetalus,Achariaceae,Hydnocarpus,polypetalus,Achariaceae,Hydnocarpus,polypetalus,,NA,50ha,unlogged
Hydnocarpus unknown mixed,Achariaceae,Hydnocarpus,unknown mixed,Achariaceae,Hydnocarpus,unknown mixed,not identified to species level,NA,"50ha, CP",both
Intsia palembanica,Fabaceae,Intsia,palembanica,Fabaceae,Intsia,palembanica,,NA,"50ha, CP",both
Intsia unknown mixed,Fabaceae,Intsia,unknown mixed,Fabaceae,Intsia,unknown mixed,not identified to species level,NA,50ha,unlogged
Irvingia malayana,Irvingiaceae,Irvingia,malayana,Irvingiaceae,Irvingia,malayana,,NA,50ha,unlogged
Ixora blumei,Rubiaceae,Ixora,blumei,Rubiaceae,Ixora,blumei,,NA,"50ha, CP",both
Ixora brevicaudata,Rubiaceae,Ixora,brevicaudata,Rubiaceae,Ixora,brevicaudata,,NA,50ha,unlogged
Ixora grandifolia,Rubiaceae,Ixora,grandifolia,Rubiaceae,Ixora,grandifolia,,NA,"50ha, CP",both
Ixora unknown mixed,Rubiaceae,Ixora,unknown mixed,Rubiaceae,Ixora,unknown mixed,not identified to species level,NA,50ha,unlogged
Kayea oblongifolia,Clusiaceae,Kayea,oblongifolia,Calophyllaceae,Kayea,oblongifolia,family corrected,NA,50ha,unlogged
Kayea unknown mixed,Calophyllaceae,Kayea,unknown mixed,Calophyllaceae,Kayea,unknown mixed,not identified to species level,NA,CP,logged
Kibara obtusa,Monimiaceae,Kibara,obtusa,Monimiaceae,Kibara,obtusa,,NA,"50ha, CP",both
Knema cinerea,Myristicaceae,Knema,cinerea,Myristicaceae,Knema,cinerea,,NA,50ha,unlogged
Knema elmeri,Myristicaceae,Knema,elmeri,Myristicaceae,Knema,elmeri,,NA,"50ha, CP",both
Knema furfuracea,Myristicaceae,Knema,furfuracea,Myristicaceae,Knema,furfuracea,,NA,50ha,unlogged
Knema glomerata,Myristicaceae,Knema,glomerata,Myristicaceae,Knema,glomerata,,NA,50ha,unlogged
Knema kostermannsiana,Myristicaceae,Knema,kostermannsiana,Myristicaceae,Knema,kostermansiana,kostermannsiana corrected to kostermansiana,NA,50ha,unlogged
Knema latericia,Myristicaceae,Knema,latericia,Myristicaceae,Knema,latericia,,NA,"50ha, CP",both
Knema laurina,Myristicaceae,Knema,laurina,Myristicaceae,Knema,laurina,,NA,"50ha, CP",both
Knema oblongata,Myristicaceae,Knema,oblongata,Myristicaceae,Knema,oblongata,,NA,50ha,unlogged
Knema pectinata,Myristicaceae,Knema,pectinata,Myristicaceae,Knema,pectinata,,NA,CP,logged
Knema pulchra,Myristicaceae,Knema,pulchra,Myristicaceae,Knema,pulchra,,NA,50ha,unlogged
Knema unknown mixed,Myristicaceae,Knema,unknown mixed,Myristicaceae,Knema,unknown mixed,not identified to species level,NA,"50ha, CP",both
Koilodepas laevigatum,Euphorbiaceae,Koilodepas,laevigatum,Euphorbiaceae,Koilodepas,laevigatum,,NA,50ha,unlogged
Koilodepas longifolium,Euphorbiaceae,Koilodepas,longifolium,Euphorbiaceae,Koilodepas,longifolium,,NA,"50ha, CP",both
Kokoona ochracea,Celastraceae,Kokoona,ochracea,Celastraceae,Kokoona,ochracea,,NA,50ha,unlogged
Koompassia excelsa,Fabaceae,Koompassia,excelsa,Fabaceae,Koompassia,excelsa,,NA,"50ha, CP",both
Kopsia pauciflora,Apocynaceae,Kopsia,pauciflora,Apocynaceae,Kopsia,pauciflora,,NA,50ha,unlogged
Lansium domesticum,Meliaceae,Lansium,domesticum,Meliaceae,Lansium,domesticum,,NA,"50ha, CP",both
Lasianthus borneensis,Rubiaceae,Lasianthus,borneensis,Rubiaceae,Lasianthus,borneensis,,NA,50ha,unlogged
Lasianthus maingayi,Rubiaceae,Lasianthus,maingayi,Rubiaceae,Lasianthus,reticulatus,Lasianthus maingayi is a synonym of Lasianthus reticulatus,NA,50ha,unlogged
Lasianthus species 1,Rubiaceae,Lasianthus,species 1,Rubiaceae,Lasianthus,species 1,not identified to species level,NA,50ha,unlogged
